Number,Date,Song,Artist,Platform,Release Date,,,,,
87,13/03/2022,Much More ,De La Soul,Spotify,,,,,,
88,14/03/2022,GOOD GRIEF,cleopatrick,Spotify,,,,,,
89,15/03/2022,Library Magic,The Head And The Heart,Spotify,,,,,,
90,16/03/2022,Howling,Cathedrals,Spotify,,,,,,
91,17/03/2022,The Revolution Will Not Be Televised,Gil Scott-Heron,Spotify,,,,,,
92,18/03/2022,Daddy Issues,The Neighbourhood,Spotify,,,,,,
93,19/03/2022,Our House,You Me At Six,Spotify,,,,,,
94,20/03/2022,Call Me Maybe,Carly Rae Jepsen,Spotify,,,,,,
95,21/03/2022,All Signs Point to Lauderdale ,A Day To Remember,Spotify,,,,,,
96,22/03/2022,One True Prince (Orchestral),DON BROCO,Spotify,,,,,,
97,23/03/2022,At Seventeen,Janis Ian,Spotify,,,,,,
98,24/03/2022,DDevil,System Of A Down,Spotify,,,,,,
99,25/03/2022,The Sky Is Fallling,Daryl Hall & John Oates,Spotify,,,,,,
100,26/03/2022,Synergy,Dance Gavin Dance,Spotify,,,,,,
101,27/03/2022,DEATH (Even Colder),Bury Tomorrow,Spotify,,,,,,
102,28/03/2022,Move - Edit,Flight Facilities,Spotify,,,,,,
103,29/03/2022,What Have You Done for Me Lately?,Emma Blackery,Spotify,,,,,,
104,30/03/2022,Memory,Carmody,Spotify,,,,,,
105,31/03/2022,Sorry You're Not A Winner,Enter Shikari,Spotify,,,,,,
106,01/04/2022,Logan Paul,Col3trane,Spotify,,,,,,
107,02/04/2022,"Requiem, K. 626: Lacrimosa",Mozart,Spotify,,,,,,
108,03/04/2022,Flames,Future Palace,Spotify,,,,,,
109,04/04/2022,THE BOTTOM,MICHELLE,Spotify,,,,,,
110,05/04/2022,Tiny Planets,Remember Sports,Spotify,,,,,,
111,06/04/2022,Extraordinary Machine,Fiona Apple,Spotify,,,,,,
112,07/04/2022,Congratulations,Eric Nam,Spotify,,,,,,
113,08/04/2022,Amazing,George Michael,Spotify,,,,,,
114,09/04/2022,Un-Break My Heart,Toni Braxton,Spotify,,,,,,
115,10/04/2022,Days of Thunder,The Midnight,Spotify,,,,,,
116,11/04/2022,Ur Mum,Wet Leg,Spotify,,,,,,
117,12/04/2022,Sad White Reggae,Placebo,Spotify,,,,,,
118,13/04/2022,As It Was,Harry Styles,Spotify,,,,,,
119,14/04/2022,Better Off,Alive Like Me,Spotify,,,,,,
120,15/04/2022,Sideways,Your Neighbors,Spotify,,,,,,
121,16/04/2022,Eventually,State Champs,Spotify,,,,,,
122,17/04/2022,Ruin My Life,Simple Plan,Spotify,,,,,,
123,18/04/2022,Be Sweet,Japanese Breakfast,Spotify,,,,,,
124,19/04/2022,War Outside,Kojey Radical,Spotify,,,,,,
125,20/04/2022,I'll Remember April,Bobby Darin,Spotify,,,,,,
